Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Tình trạng nội thất,Đặc điểm căn hộ,Hướng cửa chính,Loại hình căn hộ,Hướng ban công,Đơn giá (tr/m2),Giấy tờ pháp lý,Số phòng ngủ,Diện tích,Số phòng vệ sinh
11663913,131207566,1310361710,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Phạm Hữu Lầu,Căn hộ/Chung cư,2 tuần trước,0,False,10.70494,106.73567,"10.70494,106.73567",,"3,65 tỷ",,,0,False,2026-03-15 12:05:11,3650000000 ₫,Mua bán,Nội thất đầy đủ,,Đông,Chung cư,Tây,52.142857 tr/m²,Sổ hồng riêng,2 PN,70 m²,2
23860338,131207834,1675720589,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường 15B,Căn hộ/Chung cư,2 tuần trước,0,False,10.70316,106.73216,"10.70316,106.73216",,"2,4 tỷ",,,0,False,2026-03-15 12:19:03,2400000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,53.333332 tr/m²,Sổ hồng riêng,1 PN,45 m²,1
8813249,131208239,2117738109,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,Xã Bình Hưng,,Nguyễn Văn Linh,Căn hộ/Chung cư,2 tuần trước,0,False,10.72615,106.66785,"10.72615,106.66785",,"2,6 tỷ",,,0,False,2026-03-15 12:39:44,2600000000 ₫,Mua bán,,,,Chung cư,,52 tr/m²,,1 PN,50 m²,1
26329471,131208486,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 5,Phường 11,Phường Chợ Lớn,,Đường Triệu Quang Phục,Căn hộ/Chung cư,2 tuần trước,0,True,10.7553215,106.66146,"10.7553214,106.6614586",osm:W722010909,"2,4 tỷ",,,0,False,2026-03-16 13:10:00,2400000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,45.43742 tr/m²,Sổ hồng riêng,3 PN,52.8199 m²,1
18788835,131208621,2064367520,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Nguyễn Xiển,Căn hộ/Chung cư,5 giờ trước,0,False,10.8454,106.81972,"10.8454,106.81972",,"2,78 tỷ",,,0,False,2026-03-29 16:29:40,2780000000 ₫,Mua bán,,0,,Chung cư,,46.333332 tr/m²,Sổ hồng riêng,2 PN,60 m²,
26329471,131208661,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 5,Phường 12,Phường Chợ Lớn,,Đường Dương Tử Giang,Căn hộ/Chung cư,2 tuần trước,0,True,10.754488,106.65498,"10.7544877,106.6549815",osm:W466897994,"2,35 tỷ",,,0,False,2026-03-16 16:45:04,2350000000 ₫,Mua bán,Hoàn thiện cơ bản,,,"Tập thể, cư xá",,36.71875 tr/m²,Sổ hồng riêng,2 PN,64 m²,
21170323,131209386,380370828,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường Thắng Tam,Phường Vũng Tàu,,The Sóng,Căn hộ/Chung cư,2 tuần trước,0,False,10.343432,107.09147,"10.3434329,107.0914726",,"2,25 tỷ",,,0,False,2026-03-15 13:34:25,2250000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,46.875 tr/m²,Hợp đồng mua bán,2 PN,48 m²,1
17121609,131209417,2063062760,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,Phường Phú Thọ Hòa,,Âu Cơ,Căn hộ/Chung cư,2 ngày trước,0,False,10.79492,106.63832,"10.79492,106.63832",,"3,3 tỷ",,,0,False,2026-03-27 11:34:38,3300000000 ₫,Mua bán,,,,Chung cư,,52.38095 tr/m²,Sổ hồng riêng,2 PN,63 m²,2
21170323,131209499,380370828,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường Thắng Tam,Phường Vũng Tàu,,The Sóng,Căn hộ/Chung cư,2 tuần trước,0,False,10.343432,107.09147,"10.3434329,107.0914726",,"3,15 tỷ",,,0,False,2026-03-15 13:40:22,3150000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,43.75 tr/m²,Hợp đồng mua bán,3 PN,72 m²,2
2858025,131209772,2037572034,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Tân Đông Hiệp,Phường Tân Đông Hiệp,,Đường Đông An,Căn hộ/Chung cư,2 tuần trước,0,False,10.917414,106.76861,"10.9174137,106.76861",,"1,83 tỷ",,,0,False,2026-03-15 13:54:38,1830000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,Đông Nam,34.5283 tr/m²,Hợp đồng mua bán,2 PN,53 m²,2
31115625,131209979,1762935473,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,,17,Căn hộ/Chung cư,2 tuần trước,0,False,10.83439,106.72823,"10.83439,106.72823",,"5,699 tỷ",,,0,False,2026-03-15 14:07:08,5699900000 ₫,Mua bán,Nội thất cao cấp,0,Đông Nam,Chung cư,Tây Nam,63.332222 tr/m²,Sổ hồng riêng,2 PN,90 m²,2
31115761,131210199,1110218675,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,"Đường Võ Nguyên Giáp, phường Bình Thắng, TP. Dĩ An, tỉnh Bình Dương",Căn hộ/Chung cư,2 tuần trước,0,False,10.894831,106.81699,"10.8948307,106.8169909",,"2,65 tỷ",,,0,False,2026-03-15 14:16:43,2650000000 ₫,Mua bán,,,,Chung cư,,44.915253 tr/m²,,2 PN,59 m²,2
26353960,131210241,1939278430,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Cô Giang,Phường Cầu Ông Lãnh,,Cô Giang,Căn hộ/Chung cư,2 tuần trước,0,False,10.76231,106.69396,"10.76231,106.69396",,"12,5 tỷ",,,0,False,2026-03-15 14:18:50,12500000000 ₫,Mua bán,,,,Chung cư,,178.57143 tr/m²,,2 PN,70 m²,
4329485,131210382,987630212,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Hoà Phú,Phường Bình Dương,,Đường Bùi Thị Xuân,Căn hộ/Chung cư,2 tuần trước,0,True,11.070102,106.682724,"11.0701015,106.6827238",osm:W225107225,"6,2 tỷ",,,0,False,2026-03-15 14:25:21,6200000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,57.943924 tr/m²,,3 PN,107 m²,2
21252850,131211594,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,1 tuần trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"2,65 tỷ",,,0,False,2026-03-22 16:01:19,2650000000 ₫,Mua bán,Hoàn thiện cơ bản,Căn góc,,Chung cư,,44.915253 tr/m²,Sổ hồng riêng,2 PN,59 m²,2
31116369,131211951,1651557106,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Trường (Quận 9 cũ),Phường Long Trường,,Trường Lưu,Căn hộ/Chung cư,2 tuần trước,0,False,10.79732,106.82337,"10.79732,106.82337",,3 tỷ,,,0,False,2026-03-15 15:39:45,3000000000 ₫,Mua bán,,,,Chung cư,,50 tr/m²,,2 PN,60 m²,
22389517,131212314,710332116,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,Phường An Lạc,,Hồ Học Lãm,Căn hộ/Chung cư,2 tuần trước,0,False,10.72149,106.61147,"10.72149,106.61147",,"2,83 tỷ",,,0,False,2026-03-15 15:56:58,2830000000 ₫,Mua bán,,,,Chung cư,,44.21875 tr/m²,,2 PN,64 m²,2
13380625,131212592,2023241925,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Nguyễn Xiển,Căn hộ/Chung cư,2 tuần trước,0,False,10.8454,106.81972,"10.8454,106.81972",,"3,6 tỷ",,,0,False,2026-03-15 16:08:46,3600000000 ₫,Mua bán,Hoàn thiện cơ bản,,Tây,Chung cư,Đông Nam,66.666664 tr/m²,Sổ hồng riêng,2 PN,54 m²,2
30938514,131213060,322975185,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 26,Phường Bình Thạnh,79-81,Nguyễn Xí,Căn hộ/Chung cư,2 tuần trước,0,False,10.81634,106.70684,"10.81634,106.70684",,"4,5 tỷ",,,0,False,2026-03-15 16:29:38,4500000000 ₫,Mua bán,Nội thất cao cấp,,Đông Nam,Chung cư,Đông Nam,67.16418 tr/m²,Hợp đồng mua bán,3 PN,67 m²,2
27792155,131213099,786126674,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Bình,Phường 10,Phường Bảy Hiền,,Hồng Lạc,Căn hộ/Chung cư,2 tuần trước,0,False,10.78738,106.6472,"10.78738,106.6472",,"5,35 tỷ",,,0,False,2026-03-15 16:31:27,5350000000 ₫,Mua bán,,,,Chung cư,,53.5 tr/m²,Sổ hồng riêng,3 PN,100 m²,2
5431026,131213268,139463413,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã An Phú Tây,Xã Bình Chánh,,An Phú Tây,Căn hộ/Chung cư,2 tuần trước,0,False,10.68384,106.605,"10.68384,106.605",,"1,05 tỷ",,,0,False,2026-03-16 16:24:01,1050000000 ₫,Mua bán,Nội thất đầy đủ,,Tây Bắc,Chung cư,Đông Nam,19.444445 tr/m²,Đang chờ sổ,2 PN,54 m²,2
18422133,131213319,575085018,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,Số 69,18,Căn hộ/Chung cư,2 tuần trước,0,False,10.83119,106.71838,"10.83119,106.71838",,"5,2 tỷ",,,0,False,2026-03-16 10:30:53,5200000000 ₫,Mua bán,,Căn góc,,Chung cư,,57.77778 tr/m²,Sổ hồng riêng,3 PN,90 m²,3
22398901,131213638,78612334,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Tân Phú,Phường Tân Mỹ,,7,Căn hộ/Chung cư,6 ngày trước,0,False,10.72619,106.7246,"10.72619,106.7246",,4 tỷ,,,0,False,2026-03-23 17:28:16,4000000000 ₫,Mua bán,,Căn góc,,Officetel,,57.142857 tr/m²,,2 PN,70 m²,2
163066,131213806,1745632414,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Hữu Nghị,Căn hộ/Chung cư,2 tuần trước,0,False,10.92473,106.72363,"10.92473,106.72363",,"3,1 tỷ",,,0,False,2026-03-15 17:08:16,3100000000 ₫,Mua bán,Hoàn thiện cơ bản,,Tây Bắc,Chung cư,Đông Nam,39.240505 tr/m²,Hợp đồng mua bán,2 PN,79 m²,2
23249357,131214006,946878340,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Thuận,Phường Phú Thuận,,Hoàng Quốc Việt,Căn hộ/Chung cư,2 tuần trước,0,False,10.71509,106.74177,"10.71509,106.74177",,"5,6 tỷ",,,0,False,2026-03-16 16:12:03,5600000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,67.46988 tr/m²,Sổ hồng riêng,2 PN,83 m²,2
21345996,131214145,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Phường Bến Thành,,Đường Tôn Ðức Thắng,Căn hộ/Chung cư,2 tuần trước,0,True,10.770557,106.706276,"10.7705573,106.7062775",osm:W212623582,25 tỷ,,,0,False,2026-03-17 14:23:01,25000000000 ₫,Mua bán,Nội thất đầy đủ,,Đông Bắc,Chung cư,Tây Nam,277.77777 tr/m²,Sổ hồng riêng,2 PN,90 m²,2
2093775,131214300,1228509437,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,Xã Bình Hưng,265-197,Trung Sơn,Căn hộ/Chung cư,2 tuần trước,0,False,10.73786,106.68984,"10.73786,106.68984",,"5,3 tỷ",,,0,False,2026-03-15 17:38:46,5300000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,Nam,69.73684 tr/m²,Hợp đồng mua bán,2 PN,76 m²,
23991137,131214489,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 15,Phường Hòa Hưng,571/1N,Đường Cách Mạng Tháng 8,Căn hộ/Chung cư,2 tuần trước,0,True,10.780881,106.6759,"10.7808806,106.6759049",osm:W496279185,"5,2 tỷ",,,0,False,2026-03-15 17:50:23,5200000000 ₫,Mua bán,,,,"Căn hộ dịch vụ, mini",,173.33333 tr/m²,Sổ hồng riêng,4 PN,30 m²,3
30682094,131214584,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 3,Phường Gia Định,,ĐINH TIÊN HOÀNG P3,Căn hộ/Chung cư,2 tuần trước,0,False,10.799053,106.69531,"10.7990535,106.6953093",,"3,65 tỷ",,,0,False,2026-03-16 16:32:01,3650000000 ₫,Mua bán,,,,Chung cư,,60.833332 tr/m²,Sổ hồng riêng,2 PN,60 m²,1
5438135,131214821,1048125356,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,Phường Thủ Dầu Một,,Trần Phú,Căn hộ/Chung cư,2 tuần trước,0,False,10.97374,106.66504,"10.97374,106.66504",,"3,3 tỷ",,,0,False,2026-03-15 18:09:58,3300000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,34.736843 tr/m²,Sổ hồng riêng,3 PN,95 m²,2
5438135,131214944,1048125356,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,Phường Thủ Dầu Một,,Trần Phú,Căn hộ/Chung cư,2 tuần trước,0,False,10.97374,106.66504,"10.97374,106.66504",,"1,9 tỷ",,,0,False,2026-03-15 18:17:18,1900000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,35.849056 tr/m²,Sổ hồng riêng,1 PN,53 m²,1
4056005,131215043,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Hưng Long,Xã Hưng Long,,9 Cóng,Căn hộ/Chung cư,2 tuần trước,0,False,10.668168,106.62324,"10.6681681,106.6232359",,425 triệu,,,0,False,2026-03-15 18:23:49,425000000 ₫,Mua bán,Bàn giao thô,,Đông,Officetel,Đông,14.166667 tr/m²,Hợp đồng mua bán,2 PN,30 m²,2
16708217,131215634,2097955139,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,,Xã Vĩnh Lộc,,Vĩnh Lộc D’Gold,Căn hộ/Chung cư,2 tuần trước,0,False,,,,,960 triệu,,,0,False,2026-03-16 16:45:04,960000000 ₫,Mua bán,Hoàn thiện cơ bản,0,,Chung cư,Tây Nam,22.857143 tr/m²,,1 PN,42 m²,1
9324873,131216064,1207511909,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,Xã Vĩnh Lộc,68,Vĩnh Lộc A,Căn hộ/Chung cư,2 tuần trước,0,False,10.78869,106.5547,"10.78869,106.5547",,"1,23 tỷ",,,0,False,2026-03-15 19:41:04,1230000000 ₫,Mua bán,,,,Chung cư,,25.102041 tr/m²,,2 PN,49 m²,1
31101162,131216183,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,2806/70/4,Đường Huỳnh Tấn Phát,Căn hộ/Chung cư,2 tuần trước,0,True,10.676515,106.75841,"10.6765147,106.7584049",osm:W760748860,860 triệu,,,0,False,2026-03-15 19:48:08,860000000 ₫,Mua bán,Nội thất đầy đủ,,Tây Nam,"Căn hộ dịch vụ, mini",Tây Nam,57.333332 tr/m²,Hợp đồng mua bán,2 PN,15 m²,2
21170323,131216766,380370828,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường Thắng Tam,Phường Vũng Tàu,,The Sóng,Căn hộ/Chung cư,2 tuần trước,0,False,10.343432,107.09147,"10.3434329,107.0914726",,"3,7 tỷ",,,0,False,2026-03-15 20:26:19,3700000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,Đông Nam,51.38889 tr/m²,Sổ hồng riêng,3 PN,72 m²,2
21170323,131216858,992321904,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường Thắng Tam,Phường Vũng Tàu,,Hoàng Hoa Thám,Căn hộ/Chung cư,2 tuần trước,0,False,10.33469,107.0885,"10.33469,107.0885",,"3,45 tỷ",,,0,False,2026-03-15 20:31:52,3450000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,41.566265 tr/m²,Sổ hồng riêng,2 PN,83 m²,2
26670342,131217125,1647432533,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Bình,Phường 15,Phường Tân Sơn,33,Phan Huy Ích,Căn hộ/Chung cư,2 tuần trước,0,False,10.82523,106.63056,"10.82523,106.63056",,"5,1 tỷ",,,0,False,2026-03-15 20:50:41,5100000000 ₫,Mua bán,Nội thất đầy đủ,Căn góc,Tây Nam,Chung cư,Đông Bắc,47.66355 tr/m²,Sổ hồng riêng,3 PN,107 m²,2
24711398,131217358,294384734,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,Phường Tân Tạo,,Quốc lộ 1A,Căn hộ/Chung cư,2 tuần trước,0,False,10.73055,106.60215,"10.73055,106.60215",,"2,15 tỷ",,,0,False,2026-03-16 15:19:53,2150000000 ₫,Mua bán,,,,Chung cư,,34.677418 tr/m²,,2 PN,62 m²,2
423435,131217407,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Đường Số 1,Căn hộ/Chung cư,2 tuần trước,0,True,10.82659,106.760315,"10.8265895,106.7603159",osm:W719486103,"1,75 tỷ",,,0,False,2026-03-16 16:24:01,1750000000 ₫,Mua bán,,,,Chung cư,,33.653847 tr/m²,Sổ hồng riêng,2 PN,52 m²,
25758287,131217467,1675720589,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường 15B,Căn hộ/Chung cư,2 tuần trước,0,False,10.70316,106.73216,"10.70316,106.73216",,"2,45 tỷ",,,0,False,2026-03-16 16:50:02,2450000000 ₫,Mua bán,,,,Chung cư,,54.444443 tr/m²,Sổ hồng riêng,1 PN,45 m²,1
10907576,131218109,1868354078,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường An Phú,Phường An Phú,,Liên Huyện,Căn hộ/Chung cư,2 tuần trước,0,False,10.95664,106.74675,"10.95664,106.74675",,"1,3 tỷ",,,0,False,2026-03-15 22:08:29,1300000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,23.381378 tr/m²,Sổ hồng riêng,2 PN,55.5998 m²,1
4427407,131218243,1574061074,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Nguyễn Văn Linh,Căn hộ/Chung cư,2 tuần trước,0,False,10.69846,106.62509,"10.69846,106.62509",,"2,299 tỷ",,,0,False,2026-03-15 22:21:02,2299999999 ₫,Mua bán,,,,Chung cư,,40.350876 tr/m²,,1 PN,57 m²,
10907576,131218281,390576620,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,23425,Nguyễn Du,Căn hộ/Chung cư,2 tuần trước,0,False,10.926508,106.73592,"10.9265075140942,106.73592094785",,"1,65 tỷ",,,0,False,2026-03-15 22:24:37,1650000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,31.73077 tr/m²,Sổ hồng riêng,2 PN,52 m²,2
10907576,131218359,390576620,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,23425,Nguyễn Du,Căn hộ/Chung cư,2 tuần trước,0,False,10.926508,106.73592,"10.9265075140942,106.73592094785",,"2,1 tỷ",,,0,False,2026-03-15 22:32:09,2100000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,27.166882 tr/m²,Sổ hồng riêng,3 PN,77.3 m²,2
12625118,131218428,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường 10,Phường Rạch Dừa,,3/2,Căn hộ/Chung cư,3 ngày trước,0,False,10.392083,107.11203,"10.3920828,107.1120319",,"1,35 tỷ",,,0,False,2026-03-26 21:19:27,1350000000 ₫,Mua bán,,,,Chung cư,,19.852942 tr/m²,,2 PN,68 m²,
4570265,131218463,107211549,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Đông Hòa,Phường Đông Hòa,,"Đường Thống Nhất, khu phố Bình Thắng, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Căn hộ/Chung cư,2 tuần trước,0,False,10.89069,106.78428,"10.89069,106.78428",,"2,5 tỷ",,,0,False,2026-03-17 14:43:00,2500000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,47.20553 tr/m²,Hợp đồng mua bán,2 PN,52.9599 m²,2
10907576,131218617,2114973795,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Lái Thiêu,Phường Lái Thiêu,,Đại Lộ Bình Dương,Căn hộ/Chung cư,2 tuần trước,0,False,10.90971,106.71232,"10.90971,106.71232",,"3,369 tỷ",,,0,False,2026-03-15 23:04:12,3369600000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,46.8 tr/m²,Sổ hồng riêng,2 PN,72 m²,2
31120513,131218724,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Trưng Đông (Quận 2 cũ),Phường Bình Trưng,lô D,Đường số 49,Căn hộ/Chung cư,7 giờ trước,0,True,10.78982,106.77463,"10.7898197,106.7746255",osm:W258091689,"1,88 tỷ",,,0,False,2026-03-29 15:00:33,1880000000 ₫,Mua bán,,,,Chung cư,,41.77778 tr/m²,Sổ hồng riêng,2 PN,45 m²,
22096486,131218757,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Dĩ An,Phường Dĩ An,,Đường Đại lộ Thống Nhất,Căn hộ/Chung cư,2 tuần trước,0,True,10.895218,106.755806,"10.8952177,106.7558045",osm:W604441248,1 tỷ,,,0,False,2026-03-15 23:22:56,1000000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,14.705882 tr/m²,Sổ hồng riêng,2 PN,68 m²,2
14133665,131218787,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã An Phú Tây,Xã Bình Chánh,,Đường Nguyễn Văn Linh,Căn hộ/Chung cư,2 tuần trước,0,True,10.696301,106.61879,"10.6963016,106.6187917",osm:W1227136350,"1,5 tỷ",,,0,False,2026-03-16 16:39:00,1500000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,27.272728 tr/m²,Sổ hồng riêng,2 PN,55 m²,2
30752857,131218819,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Phú Nhuận,Phường 2,Phường Cầu Kiệu,,Đường Hoa Đào,Căn hộ/Chung cư,2 tuần trước,0,True,10.797813,106.68723,"10.7978136,106.6872318",osm:W39622931,"6,2 tỷ",,,0,False,2026-03-16 16:41:01,6200000000 ₫,Mua bán,Nội thất đầy đủ,,,Officetel,,319.58926 tr/m²,Sổ hồng riêng,2 PN,19.3999 m²,3
26784375,131218840,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 26,Phường Bình Thạnh,,Đường Ung Văn Khiêm,Căn hộ/Chung cư,2 tuần trước,0,True,10.809295,106.71329,"10.8092947,106.7132906",osm:W987276648,"12,9 tỷ",,,0,False,2026-03-15 23:36:29,12900000000 ₫,Mua bán,Nội thất đầy đủ,,,"Căn hộ dịch vụ, mini",,192.53731 tr/m²,Sổ hồng riêng,nhiều hơn 10 PN,67 m²,
22096486,131218967,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Phú Hòa,Phường Phú Lợi,,Đường Đại lộ Bình Dương,Căn hộ/Chung cư,2 tuần trước,0,True,10.975452,106.6698,"10.9754527,106.6698015",osm:W225057228,1 tỷ,,,0,False,2026-03-15 23:54:44,1000000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,14.705882 tr/m²,Sổ hồng riêng,2 PN,68 m²,2
26784375,131218974,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 3,Phường Gia Định,,Đường Phan Đăng Lưu,Căn hộ/Chung cư,2 tuần trước,0,True,10.802988,106.69332,"10.8029879,106.6933214",osm:W817906360,"9,5 tỷ",,,0,False,2026-03-15 23:55:28,9500000000 ₫,Mua bán,Nội thất đầy đủ,,,"Căn hộ dịch vụ, mini",,117.28395 tr/m²,Sổ hồng riêng,3 PN,81 m²,
2169913,131218975,1862845974,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Trưng Đông (Quận 2 cũ),Phường Bình Trưng,537,Nguyễn Duy Trinh,Căn hộ/Chung cư,2 tuần trước,0,False,10.78856,106.77068,"10.78856,106.77068",,"8,5 tỷ",,,0,False,2026-03-15 23:55:31,8500000000 ₫,Mua bán,Nội thất đầy đủ,,,Officetel,,64.8855 tr/m²,Sổ hồng riêng,2 PN,131 m²,2
2361274,131219507,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Phú Trung,Phường Tân Phú,,Đường Huỳnh Văn Chính,Căn hộ/Chung cư,2 tuần trước,0,True,10.780501,106.642235,"10.7805014,106.642238",osm:W242003838,"2,47 tỷ",,,0,False,2026-03-16 06:25:20,2470000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,54.88889 tr/m²,Sổ hồng riêng,2 PN,45 m²,2
26784375,131219755,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 3,Phường Gia Định,,Đường Phan Đăng Lưu,Căn hộ/Chung cư,2 tuần trước,0,True,10.802988,106.69332,"10.8029879,106.6933214",osm:W817906360,"9,5 tỷ",,,0,False,2026-03-16 07:15:32,9500000000 ₫,Mua bán,Nội thất đầy đủ,,,"Căn hộ dịch vụ, mini",,117.28395 tr/m²,,4 PN,81 m²,
16708217,131220070,1258142216,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,Xã Vĩnh Lộc,,Hương lộ 80,Căn hộ/Chung cư,2 tuần trước,0,False,10.80775,106.57003,"10.80775,106.57003",,865 triệu,,,0,False,2026-03-17 16:14:05,865000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,22.763159 tr/m²,,1 PN,38 m²,1
